Num,URL,Title,Date,Full Content,Categories,Tags
1,https://dsisaev.livejournal.com/10219.html,Начал работу наш сайт.,"December 28 2011, 20:39","Начал работу наш сайт. Наш - Алексея Титенкова, Сергея Березина, Наталии Богдан и вашего покорного. Еще совсем ""сырой"", но постепенно мы его доведем до ума. Там можно узнать про нас, нашу работу, наши проекты, есть статьи, видео материалы. А еще есть форум, где можно задать любые вопросы любому из нас, внести предложения и написать отзывы.
Будем очень рады, если наш сайт будет полезен. Назвали мы его - ""Что делать?"" - вопрос хороший, гораздо терапевтичнее, чем - ""Кто виноват?"".
Спасибо большое Ксении Русяевой, нашему главному администратору за удивительную и замечательную творческую работу по рождению и воспитанию нашего сайта.
Вот его адрес:
http://chtodelat63.ru/
Заходите.","Культура, Социум","Блогинг, LJ, Общество"
2,https://dsisaev.livejournal.com/10317.html,Про старый год.,"December 30 2011, 23:55","Заканчивается год. Что было?
- Работа. Много ее было. Хорошо. Что нового - до лета читал лекции по пятницам, то, что раньше в универе. Интересно получилось. Приходили разные люди. Особенно активно приходили на психосоматику и сексологию.Совсем немного было только студентов - психологов. И это уже не удивительно. Теперь в нашем центре этим занимается Наталия Анатольевна, я с удовольствием участвую.
С сентября добавились группы по четвергам. Получилось. И, что интересно, группы получились совсем разные, хотя многие участники периодически приходят в разные дни. Посмотрим.
Начал проводить совместные консультации с Сергеем Георгиевичем Завьяловым. Удивительный опыт для меня и крайне важный (по отзывам и по результатам) для пациентов.
Провели с Сергеем Березиным наши проекты - и классические (о как!) и новый - расстановки пространства для студентов спецфака. Будем дальше.
- Путешествия. Самый богатый год в моей жизни для путешествий.
Италия. Ожидаемо влюбился. Скоро новое свиданье.
Чехия. Вернее, Прага. Пряничная, по мне - слишком приторная. Кинули нас там в обменнике нехорошо. Русских сильно не любят. Да и не за что, собственно.
Индия. Неожиданно не полюбилась. Сказочные Гималаи. Все что ниже, до сих пор вызывает рвотные позывы, хотя я, вроде, много что видел, и не прихотлив.
Хорватия. Любовь моя пожизненная. С открытием потрясающего натуристского города Каверсада и встречи со старыми городами - друзьями.
Эмираты. Неожиданно полюбились. И теплым белым Персидским заливом, и чистотой и (само)уважением, и совершенно охерительной (пардон) архитектурой, и такими же рыбными рынками,беззвучным метро без машиниста, вкуснейшим питанием в гостинице, и поющими фонтанами, и тп. Странно. Арабов не люблю, а их(ние) Эмираты понравились.
- Семья. Слава Богу и моей Жене, все хорошо. Старший сын - Мишка закончил МГУ, остался жить в Москве, работает. Скучаю по нему. Младший - Арсений - стал получше учиться (спасибо им же). Маме исполнилось 70, папе 70 через две недели. Они у меня молодцы. Сестра так и живет на Канарах, сейчас в командировке в ОАЭ. Сложно у меня с ней.
Спасибо этому году. И всем моим близким. И ура - с Новым Годом!","Медицина, Психология","Карьера, Терапия, Группы, Психосоматика"
3,https://dsisaev.livejournal.com/1054.html,"Сын, кот и завтрашняя лекция.","February 10 2011, 13:31","Сын относится к коту, как к забавной игрушке. Бывает, достаточно жестоко. Кот мстит. Обычно, кусаясь и царапаясь.
Вчера, перед нашим с женой приходом,сын кота искупал. То есть сунул в ванну и облил из душа. Когда мы вошли, кот демонстративно выполз в прихожую и стал жалобно облизываться, поскуливая. Результат - сын два дня без компьютера, а кот сейчас носится по дому, сытый от пуза, обласканный, и, мне кажется, очень довольный.
Завтра у меня лекция про манипулятивное поведение. Сижу, вот, осмысляю. (улыбка).","Личное, Психология","Дети, Терапия, Манипуляции"
4,https://dsisaev.livejournal.com/10577.html,Про папу.,"January 15 2012, 14:30","Отец родился в день старого нового года. 70 лет назад. Он сказал на юбилее, что обычно в Новый год говорят - ""с Новым годом - с Новым счастьем"", а вот ему нового счастья не нужно. Что он живет счастьем настоящим, и сохранить его важнее, чем ждать нового. И рассказал про свое настоящее счастье. Он, получается, настоящий буддист)). Люблю его очень.
Моя беременная  бабушка ехала с ним в животе и двумя дочками на руках в эвакуацию из Кременчуга, где служил мой дед. Ехали они в ""телячем"" вагоне, и по крыше дробью дождя иногда барабанили авиационные пули.
Время родиться выпало отцу когда они проезжали маленький поселок в МариЭл. В натопленной срубовой избе. 14 января 1942 года. Дал ему Бог прожить интереснейшую (по его словам вчера) жизнь, и дай ему Бог еще и еще,.
А я, похмельный, собираю дорожные шмотки и забиваю в навигатор маршрут по Лазурному берегу. Я, его сын.",Личное,"Родители, Род, Память, История, Дом"
5,https://dsisaev.livejournal.com/13521.html,Про психотерапевта.,"March 21 2012, 18:51","Хорош тот человек, который больше других помешал остальным жить, как раньше.
Максим Горький.","Психология, Культура","Терапия, Личность, Книги"
6,https://dsisaev.livejournal.com/13759.html,Про маму и поломанную жизнь.,"March 28 2012, 18:05","Она сидела у окна в детском садике. Она наблюдала за людьми на улице и вдруг увидела маму. Она очень обрадовалась. Она знала, что мама может идти только к ней. Мама прошла мимо окна к остановке. Она не поверила глазам. Обида жгла ее слезами весь оставшийся день. Она не могла проглотить еду. Она очень хорошо запомнила это.
Она выросла. И все воспоминания о маме связанны только с обидами на нее.
Она выходила замуж два раза. Каждый раз против воли и желания мамы. Каждый раз возвращалась к ней. Виноватая. С тех пор, как она стала взрослая, она всегда виновата. И наказывала себя всерьез - и разводами, и онкологией, и финансовыми потерями.
Я спросил ее - что тебе сейчас необходимо?
- Замуж выйти, из дома убежать..
- Зачем? Чтобы опять вернуться виноватой?
Она всю свою сознательную жизнь бежала от той обиды. И всегда прибегала к своей вине. Больше некуда.
И опять прибежит.
Необходимо принять маму. Без этого - вся жизнь - наказание. Ее работа - принять маму сейчас и простить себя за годы ненависти. Значит, и ненависть принять. Как же полюбить иначе?
Запись сделана с помощью
m.livejournal.com
.","Личное, Психология, Медицина","Родители, Вина, Обида, Онкология"
7,https://dsisaev.livejournal.com/13978.html,Встретили весну.,"April 9 2012, 14:57","Как же хорошо там. И как же хорошо с ними. Славно поработали, еще лучше отдохнули. Совсем скоро наше Место станет летним. И добро пожаловать.",Места,"Самара, Природа, Погода"
8,https://dsisaev.livejournal.com/14286.html,Перед пасхой.,"April 14 2012, 13:40","Мы беседовали о грехе на радио.
- А какой самый главный грех? - ведущий задал, как мне казалось, невыносимый вопрос.
Отец Алексей ответил сразу, без всяких раздумий и сомнений.
- Гордыня.
Потом, постепенно, в голове уложилось.
Гордыня - когда я - не такой, как ты. Лучше или хуже. Достойней или ущербней. Добрее или злее. Ранимее или тверже. В должниках или судьях.
В ХХ веке это называлось фашизмом. В ХХI -  никуда не делось.
Гордыня - мать всех преступлений. Начиная с Каина, который пережил ущербность. И дальше через всю историю.
Есть обязательные симптомы гордыни. Это чувства. Обиды и вины. Их легко в себе обнаружить.
Есть дополнительные симптомы, вытекающие из обязательных - зависть, жадность, ревность, трусость.
Суть хрестианства, как я понимаю, в освобождении. Прежде всего от этих симптомов, начиная с главных.
И в предложении Великой альтернативы.
То есть - чем больше места в душе занимает любовь, тем меньше остается для вины и обиды. Тем гордыни меньше.
Есть чем заняться в обозримом будущем.)","Психология, Медицина","Эмоции, Личность, Этика"
9,https://dsisaev.livejournal.com/14564.html,Она была замужем..,"April 17 2012, 00:16","Она была замужем за хорошим человеком, внешне вполне нормальная семья. Тот случай, когда некогда любимый муж превратился в ""за-каменную стену"".
Потом в ее жизни появился "" молодой человек"", непременно с помощью ""одноклассников"", потом смс - доброеутро-спокойнойночи, обычная история..
Дальше - стремительно и уже не по привычной схеме.  Каменная стена затряслась и рухнула. Она все рассказала мужу, не могла - не хотела врать. Потом собралась, взяла дочку, сняла квартиру и ушла.
А потом ""молодой человек"" взял и - правильно - к ней не переехал.
Она подождала пару лет и обратилась за помощью.
Ситуация следующая: за одну руку тащит чувство вины обратно к мужу,  за другую - обида требует возврата любовника. Как березой разрывали человека на Руси. Совершенно безвыходно, депрессия. Но держится достойно, ни одной слезинки не проронила, слушает внимательно.
Если посмотреть на ситуацию не с позиции эмоционального рэкета, а фактически, получается следующее: она использовала ""молодого человека"" для того, чтобы уйти от невыносимого комфорта  обесчувственной жизни.  Точно также и была использована любовником для каких то своих целей. Все получили то, чего именно хотели. А значит ни к чему обида, да и вина не поможет.
Нужно прийти в себя. Очень верное выражение.
Когда пройдут депрессивные симптомы, когда голова встанет на место и вернутся ощущения, тогда и будет выбирать. Ни того, кому должна, ни того,  перед кем виновата, а к кому и кого хочет. Это и есть стратегия оказания психотерапевтической помощи.","Личное, Психология","Отношения, Кейсы, Выбор"
10,https://dsisaev.livejournal.com/14659.html,Тринадцатый знак.,"April 22 2012, 02:01","Наш Сашка, наш астроном, поведал мне, темному, что есть тринадцатый знак. Зодиака.
Оказывается, положение оси Земли меняется. За 50 тысяч лет становится зеркальным, обратным. Соответственно, и созвездия по эклептике тоже смещаются. С момента зодиакальных схем, нарисованных древними греками, прошло 4 тысячи лет. Уже не мало. И теперь на зодиакальную ось залезло созвездие Змееносца. На современной карте звездного неба это прекрасно видно.
Появился 13 знак. Теперь люди, которые родились с 19 ноября по 18 декабря - по зодиаку - змеи. Мой старший сын Мишка едва проскочил - у него как раз 18 декабря день рождения.
Что делать с этой информацией я не знаю, но она меня тронула. Интересно, когда твердыни сдвигаются. Как же теперь быть астрологам? Все переделывать?  Или уж так, по старинке, не замечать научные выводы?","Стиль, Психология, Культура","Технологии, Личность, Блогинг"
